typestatus	standard	vetted
HOLOTYPE OF RANGIFER TARANDUS GRANTI (ALLEN)	holotype	1
HOLOTYPE OF RANGIFER TARANDUS OSBORNI (ALLEN)	holotype	1
HOLOTYPE OF RANGIFER TARANDUS PEARYI (ALLEN)	holotype	1
HOLOTYPE OF RANGIFER TARANDUS STONEI (ALLEN)	holotype	1
HOLOTYPE OF RANGIFER TARANDUS TERRAENOVAE (ALLEN)	holotype	1
HOLOTYPE OF RANODON OLYMPICUS	holotype	1
HOLOTYPE OF RATTUS CAELESTES KOKA	holotype	1
HOLOTYPE OF RATTUS EXULANS LUTEIVENTRIS ((ALLEN))	holotype	1
HOLOTYPE OF RATTUS HOFFMANNI ((MATSCHIE))	holotype	1
HOLOTYPE OF RATTUS KOOPMANI	holotype	1
HOLOTYPE OF RATTUS LEUCOPUS COOKTOWENENSIS	holotype	1
HOLOTYPE OF RATTUS LEUCOPUS MCILWRAITHI	holotype	1
HOLOTYPE OF RATTUS LUTREOLUS LACUS (TATE)	holotype	1
HOLOTYPE OF RATTUS MOLLICOMULUS	holotype	1
HOLOTYPE OF RATTUS RATTUS ((LINNEAUS))	holotype	1
HOLOTYPE OF RATTUS SIKKIMENSIS (HINTON)	holotype	1
HOLOTYPE OF RATTUS SORDIDUS GESTRI ((THE CORYNDON MUSEUM))	holotype	1
HOLOTYPE OF RATTUS STEINI BALIEMENSIS	holotype	1
HOLOTYPE OF RATTUS TANEZUMI ((TEMMINCK))	holotype	1
HOLOTYPE OF RATTUS TURKESTANICUS ((SATUNIN))	holotype	1
HOLOTYPE OF RATTUS XANTHURUS SALOCCO (TATE & ARCHBOLD)	holotype	1
HOLOTYPE OF RATUFA BICOLOR HAINANA (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS BREVIROSTRIS	holotype	1
HOLOTYPE OF REITHRODONTOMYS FULVESCENS FULVESCENS	holotype	1
HOLOTYPE OF REITHRODONTOMYS FULVESCENS FULVESCENS (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS FULVESCENS INTERMEDIUS (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS FULVESCENS LACEYI	holotype	1
HOLOTYPE OF REITHRODONTOMYS FULVESCENS LACEYI (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS GRACILIS ANTHONYI	holotype	1
HOLOTYPE OF REITHRODONTOMYS GRACILIS GRACILIS (ALLEN & CHAPMAN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS GRACILIS PACIFICUS (GOODWIN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS ARIZONENSIS (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS AZTECUS	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS AZTECUS (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS DYCHEI (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS HOOPERI	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS LONGICAUDA	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS LONGICAUDUS ((BAIRD))	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS MEGALOTIS ((BAIRD))	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEGALOTIS SATURATUS (ALLEN & CHAPMAN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEXICANUS CHERRIEI ((ALLEN))	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEXICANUS HOWELLI	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEXICANUS MILLERI (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEXICANUS OCOTEPEQUENSIS	holotype	1
HOLOTYPE OF REITHRODONTOMYS MEXICANUS POTREROGRANDEI	holotype	1
HOLOTYPE OF REITHRODONTOMYS RODRIGUEZI	holotype	1
HOLOTYPE OF REITHRODONTOMYS SUMICHRASTI AUSTRALIS (ALLEN)	holotype	1
HOLOTYPE OF REITHRODONTOMYS SUMICHRASTI MODESTUS (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF REITHRODONTOMYS SUMICHRASTI SUMICHRASTI	holotype	1
HOLOTYPE OF REITHRODONTOMYS SUMICHRASTI SUMICHRASTI ((SAUSSURE))	holotype	1
HOLOTYPE OF RHADINAEA HEMPSTEADAE	holotype	1
HOLOTYPE OF RHADINAEA ORINA, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:195	holotype	1
HOLOTYPE OF RHADINAEA STADELMANI	holotype	1
HOLOTYPE OF RHADINAEA VERAEPACIS	holotype	1
HOLOTYPE OF RHAMPHOZOSTEROPS SANFORDI (MAYR, 1931)	holotype	1
HOLOTYPE OF RHEOMYS MEXICANUS (GOODWIN)	holotype	1
HOLOTYPE OF RHINOLOPHUS AFFINIS HAINANUS (ALLEN & ALLEN, 1906)	holotype	1
HOLOTYPE OF RHINOLOPHUS CANUTI TIMORENSIS (GOODWIN)	holotype	1
HOLOTYPE OF RHINOLOPHUS CELEBENSIS PARVUS (GOODWIN, 1979)	holotype	1
HOLOTYPE OF RHINOLOPHUS CLIVOSUS HILLORUM	holotype	1
HOLOTYPE OF RHINOLOPHUS FUMIGATUS ABAE (ALLEN & ALLEN, 1917)	holotype	1
HOLOTYPE OF RHINOLOPHUS LANDERI LOBATUS (PETERS & PETERS. W., 1852)	holotype	1
HOLOTYPE OF RHINOLOPHUS LUCTUS SPURCUS (ALLEN & ALLEN, 1928)	holotype	1
HOLOTYPE OF RHINOLOPHUS MACLAUDI RUWENZORI (HILL)	holotype	1
HOLOTYPE OF RHINOLOPHUS MACROTIS CALDWELLI (ALLEN & ALLEN, 1923)	holotype	1
HOLOTYPE OF RHINOLOPHUS MACROTIS EPISCOPUS (ALLEN & ALLEN, 1923)	holotype	1
HOLOTYPE OF RHINOLOPHUS MEGAPHYLLUS VANDEUSENI (KOOPMAN, 1982)	holotype	1
HOLOTYPE OF RHINOLOPHUS PHILIPPINENSIS MAROS (TATE ET AL., 1939)	holotype	1
HOLOTYPE OF RHINOLOPHUS PHILIPPINENSIS MONTANUS	holotype	1
HOLOTYPE OF RHINOLOPHUS PHILIPPINENSIS ROBERTSI (TATE & TATE, 1952)	holotype	1
HOLOTYPE OF RHINOLOPHUS PUSILLUS CALIDUS (ALLEN & ALLEN, 1923)	holotype	1
HOLOTYPE OF RHINOLOPHUS PUSILLUS PAGI (TATE ET AL., 1939)	holotype	1
HOLOTYPE OF RHINOLOPHUS PUSILLUS PARCUS (ALLEN & ALLEN, 1928)	holotype	1
HOLOTYPE OF RHINOLOPHUS REX (ALLEN, 1923)	holotype	1
HOLOTYPE OF RHINOLOPHUS SUBRUFUS BUNKERI (TAYLOR & TAYLOR, 1934)	holotype	1
HOLOTYPE OF RHIPIDOMYS CAUCENSIS	holotype	1
HOLOTYPE OF RHIPIDOMYS COUESI	holotype	1
HOLOTYPE OF RHIPIDOMYS COUESI ((ALLEN & CHAPMAN))	holotype	1
HOLOTYPE OF RHIPIDOMYS FULVIVENTER (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF RHIPIDOMYS LATIMANUS ((TOMES))	holotype	1
HOLOTYPE OF RHIPIDOMYS LATIMANUS MOLLISSIMUS (ALLEN)	holotype	1
HOLOTYPE OF RHIPIDOMYS MACCONNELLI (DE WINTON)	holotype	1
HOLOTYPE OF RHIPIDOMYS MASTACALIS ((LUND))	holotype	1
HOLOTYPE OF RHIPIDOMYS NITELA (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF RHIPIDOMYS NITELA TOBAGI	holotype	1
HOLOTYPE OF RHIPIDOMYS OCHROGASTER	holotype	1
HOLOTYPE OF RHIPIDOMYS VENUSTUS (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF RHOGEESSA ALLENI (THOMAS, 1892)	holotype	1
HOLOTYPE OF RHOGEESSA PARVULA (ALLEN)	holotype	1
HOLOTYPE OF RHOGEESSA TUMIDA (ALLEN)	holotype	1
HOLOTYPE OF RHOMBOMYS OPIMUS OPIMUS ((LICHTENSTEIN))	holotype	1
HOLOTYPE OF RHOPTROPUS BOULTONI, SCHMIDT, 1933, ANN. CARNEGIE MUS., 22:7	holotype	1
HOLOTYPE OF RHYNCHOCYCLUS FLAVIVENTRIS AURULENTUS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 171, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF RHYNCHOCYCLUS OLIVACEUS SORDIDUS, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 296, PUBLISHED 15 FEBRUARY 1952.	holotype	1
HOLOTYPE OF RHYNCHOCYCLUS OLIVACEUS TAMBORENSIS, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 297, PUBLISHED 15 FEBRUARY 1952.	holotype	1
HOLOTYPE OF RHYNCHONYCTERIS NASO ((WIED-NEUWIED))	holotype	1
HOLOTYPE OF RICHMONDENA CARDINALIS SEFTONI	holotype	1
HOLOTYPE OF SACCOPTERYX BILINEATA PERSPICILLIFER (MILLER)	holotype	1
HOLOTYPE OF SAGUINUS BICOLOR OCHRACEUS	holotype	1
HOLOTYPE OF SAGUINUS FUSCICOLLIS AVILAPIRESI	holotype	1
HOLOTYPE OF SAGUINUS FUSCICOLLIS CRANDALLI	holotype	1
HOLOTYPE OF SAGUINUS GEOFFROYI ((PUCHERAN))	holotype	1
HOLOTYPE OF SAGUINUS INUSTUS ((SCHWARTZ))	holotype	1
HOLOTYPE OF SAGUINUS LEUCOPUS (GUNTHER)	holotype	1
HOLOTYPE OF SAGUINUS OEDIPUS OEDIPUS (LINNEAUS)	holotype	1
HOLOTYPE OF SAIMIRI SCIUREUS MACRODON (ELLIOT)	holotype	1
HOLOTYPE OF SALTATOR ALBICOLLIS PERSTRIATUS, PARKES, K. C. 1959. A NEW RACE OF SALTATOR ALBICOLLIS FROM VENEZUELA AND ADJACENT COLOMBIA. NOVEDADES COLOMBIANAS, 200-201. PAGE 200, PUBLISHED 1 SEPTEMBER 1959.	holotype	1
HOLOTYPE OF SALTATOR ORENOCENSIS RUFESCENS, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 201, PUBLISHED 20 MAY 1912.	holotype	1
HOLOTYPE OF SALVADORA INTERMEDIA	holotype	1
HOLOTYPE OF SATRAPA ICTEROPHRYS SEPTENTRIONALIS, TODD, W. E. C. 1937. NEW SOUTH AMERICAN BIRDS. ANNALS CARNEGIE MUSEUM, 243-255. PAGE 253, PUBLISHED 16 NOVEMBER 1937.	holotype	1
HOLOTYPE OF SAUCEROTTIA TOBACI MONTICOLA, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 174, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF SAYORNIS LATIROSTRIS FUMIGATUS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 72, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF SCALOPUS AQUATICUS ALLENI	holotype	1
HOLOTYPE OF SCALOPUS AQUATICUS AUSTRALIS ((CHAPMAN))	holotype	1
HOLOTYPE OF SCALOPUS AQUATICUS TEXANUS	holotype	1
HOLOTYPE OF SCALOPUS AQUATICUS TEXANUS ((ALLEN))	holotype	1
HOLOTYPE OF SCAPANUS LATIMANUS ANTHONYI (ALLEN)	holotype	1
HOLOTYPE OF SCAPHIOPHRYNE BORIBORY	holotype	1
HOLOTYPE OF SCELOPORUS ADLERI	holotype	1
HOLOTYPE OF SCELOPORUS GOLDMANI	holotype	1
HOLOTYPE OF SCELOPORUS INSIGNIS	holotype	1
HOLOTYPE OF SCELOPORUS LUNDELLI LUNDELLI	holotype	1
HOLOTYPE OF SCELOPORUS MELANORHINUS STUARTI	holotype	1
HOLOTYPE OF SCELOPORUS SCALARIS SAMCOLEMANI	holotype	1
HOLOTYPE OF SCELOPORUS SERRIFER CARINICEPS	holotype	1
HOLOTYPE OF SCELOPORUS TAENIOCNEMUS HARTWEGI	holotype	1
HOLOTYPE OF SCELOPORUS UNDULATUS VIRGATUS	holotype	1
HOLOTYPE OF SCELOPORUS VARIABILIS OLLOPORUS	holotype	1
HOLOTYPE OF SCELOPORUS VARIABILIS SMITHI	holotype	1
HOLOTYPE OF SCHIFFORNIS TURDINUS INTERCEDENS, TODD, W. E. C. 1928. FIVE NEW MANAKINS FROM SOUTH AMERICA. PROC. BIOL. SOC. WASH., 111-114. PAGE 113, PUBLISHED 29 JUNE 1928.	holotype	1
HOLOTYPE OF SCHIFFORNIS TURDINUS STEINBACHI, TODD, W. E. C. 1928. FIVE NEW MANAKINS FROM SOUTH AMERICA. PROC. BIOL. SOC. WASH., 111-114. PAGE 113, PUBLISHED 29 JUNE 1928.	holotype	1
HOLOTYPE OF SCHISTOCHLAMYS ATRA ATERRIMA, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 203, PUBLISHED 20 MAY 1912.	holotype	1
HOLOTYPE OF SCHISTOCICHLA HUMAYTHAE MAJOR, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 166, PUBLISHED 2 DECEMBER 1927.	holotype	1
HOLOTYPE OF SCHISTOCICHLA INFUSCATA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 166, PUBLISHED 2 DECEMBER 1927.	holotype	1
HOLOTYPE OF SCHISTOCICHLA LEUCOSTIGMA RUFIFACIES, HELLMAYR, C. E. 1929. ON HETEROGYNISM IN FORMICARIAN BIRDS. J. FUR ORNITHOLOGIE, 41-70. PAGE 64, PUBLISHED 29 OCTOBER 1929.	holotype	1
HOLOTYPE OF SCINCUS RICHMONDI, HAAS, 1961, ANN. CARNEGIE MUS., 36:24	holotype	1
HOLOTYPE OF SCIUROTAMIAS DAVIDIANUS CONSOBRINUS ((MILNE-EDWARDS))	holotype	1
HOLOTYPE OF SCIURUS ABERTI BARBIERI	holotype	1
HOLOTYPE OF SCIURUS ABERTI PHAEURUS	holotype	1
HOLOTYPE OF SCIURUS AESTUANS VENUSTUS ((ALLEN))	holotype	1
HOLOTYPE OF SCIURUS AUREOGASTER SOCIALIS (WAGNER)	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS BONDAE (ALLEN)	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS CANDELENSIS ((ALLEN))	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS CHAPMANI (ALLEN)	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS GRISEIMEMBRA ((ALLEN))	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS MANAVI ((ALLEN))	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS MORULUS (BANGS)	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS QUINDIANUS ((ALLEN))	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS SPLENDIDUS (GRAY)	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS VALDIVIAE ((ALLEN))	holotype	1
HOLOTYPE OF SCIURUS GRANATENSIS VERSICOLOR (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF SCIURUS IGNIVENTRIS (WAGNER)	holotype	1
HOLOTYPE OF SCIURUS IGNIVENTRIS COCALIS (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF SCIURUS NAYARITENSIS (ALLEN)	holotype	1
HOLOTYPE OF SCIURUS NAYARITENSIS APACHE	holotype	1
HOLOTYPE OF SCIURUS NAYARITENSIS APACHE (ALLEN)	holotype	1
HOLOTYPE OF SCIURUS PUCHERANII CAUCENSIS (NELSON)	holotype	1
HOLOTYPE OF SCIURUS PUCHERANII MEDELLENSIS ((GRAY))	holotype	1
HOLOTYPE OF SCIURUS SPADICEUS LANGSDORFFII ((BRANDT))	holotype	1
HOLOTYPE OF SCIURUS STRAMINEUS ZARUMAE	holotype	1
HOLOTYPE OF SCIURUS YUCATANENSIS PHAEPUS	holotype	1
HOLOTYPE OF SCLATERIA NAEVIA DIAPHORA, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 172, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF SCLATERIA NAEVIA TODDI, HELLMAYR, C. E. 1924. CATALOGUE OF BIRDS OF THE AMERICAS. FIELD MUS. ZOOL. SER., VII,369. PAGE 253, PUBLISHED 20 NOVEMBER 1924.	holotype	1
HOLOTYPE OF SCLERURUS RUFIGULARIS BRUNNESCENS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 42, PUBLISHED 15 OCTOBER 1948.	holotype	1
HOLOTYPE OF SCLERURUS RUFIGULARIS FULVIGULARIS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 74, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF SCLERURUS RUFIGULARIS FURFUROSUS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS **INCORRECTLY LISTED AS 83826**. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 41, PUBLISHED 15 OCTOBER 1948.	holotype	1
HOLOTYPE OF SCOLOMYS MELANOPS	holotype	1
HOLOTYPE OF SCOTINOMYS TEGUINA APRICUS (BANGS)	holotype	1
HOLOTYPE OF SCOTINOMYS TEGUINA IRAZU (ALLEN)	holotype	1
HOLOTYPE OF SCOTINOMYS XERAMPELINUS (BANGS)	holotype	1
HOLOTYPE OF SCOTOPHILUS HEATHII INSULARIS (ALLEN)	holotype	1
HOLOTYPE OF SCOTOPHILUS KUHLII CONSOBRINUS (ALLEN)	holotype	1
HOLOTYPE OF SCYTALOPUS ATRATUS, HELLMAYR, C. E. 1922. NEUE FORMEN DER GATTUNG SCYTALOPUS. ORNITH. MONATSBER., 54-59. PAGE 54, PUBLISHED 1 MAY 1922.	holotype	1
HOLOTYPE OF SCYTALOPUS GRISEICOLLIS FUSCICAUDA, HELLMAYR, C. E. 1922. NEUE FORMEN DER GATTUNG SCYTALOPUS. ORNITH. MONATSBER., 54-59. PAGE 55, PUBLISHED 1 MAY 1922.	holotype	1
HOLOTYPE OF SEICERCUS LAURAE, BOULTON, R. 1931. NEW SPECIES AND SUBSPECIES OF AFRICAN BIRDS. ANNALS CARNEGIE MUSEUM, 43-56. PAGE 54, PUBLISHED 16 NOVEMBER 1931.	holotype	1
HOLOTYPE OF SEMINATRIX PYGAEA CYCLAS	holotype	1
HOLOTYPE OF SEMINATRIX PYGAEA PALUDIS	holotype	1
HOLOTYPE OF SETOPAGIS HETERURUS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 19-82. PAGE 81, PUBLISHED 13 APRIL 1915.	holotype	1
HOLOTYPE OF SIAPHOS AURICULATUS, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:377	holotype	1
HOLOTYPE OF SIAPHOS KEMPI, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:118	holotype	1
HOLOTYPE OF SIBON DUNNI	holotype	1
HOLOTYPE OF SIBYNOMORPHUS GAIGEAE	holotype	1
HOLOTYPE OF SICALIS LUTEIVENTRIS FLAVISSIMA, TODD, W. E. C. 1922. NEW FORMS OF FINCHES AND TANAGERS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 89-94. PAGE 90, PUBLISHED 12 JULY 1922.	holotype	1
HOLOTYPE OF SIGMODON ALLENI PLANIFRONS (NELSON & GOLDMAN)	holotype	1
HOLOTYPE OF SIGMODON ALLENI VULCANI (ALLEN)	holotype	1
HOLOTYPE OF SIGMODON ARIZONAE	holotype	1
HOLOTYPE OF SIGMODON ARIZONAE (MEARNS)	holotype	1
HOLOTYPE OF SIGMODON FULVIVENTER FULVIVENTER (ALLEN)	holotype	1
HOLOTYPE OF SIGMODON HISPIDUS BORUCAE (ALLEN)	holotype	1
HOLOTYPE OF SIGMODON HISPIDUS CHIRIQUENSIS (ALLEN)	holotype	1
HOLOTYPE OF SIGMODON HISPIDUS GRISEUS	holotype	1
HOLOTYPE OF SIGMODON HISPIDUS LITTORALIS	holotype	1
HOLOTYPE OF SIGMODON HISPIDUS VILLAE	holotype	1
HOLOTYPE OF SIGMODON HISPIDUS ZANJONENSIS (GOODWIN)	holotype	1
HOLOTYPE OF SIGMODON INOPINATUS	holotype	1
HOLOTYPE OF SIGMODON MASCOTENSIS (ALLEN)	holotype	1
HOLOTYPE OF SIGMODON MASCOTENSIS (ALLEN, 1897)	holotype	1
HOLOTYPE OF SIGMODON OCHROGNATHUS (BAILEY)	holotype	1
HOLOTYPE OF SIGMODON PERUANUS	holotype	1
HOLOTYPE OF SIGMODON PERUANUS (ALLEN)	holotype	1
HOLOTYPE OF SIGMODONTOMYS ALFARI	holotype	1
HOLOTYPE OF SIGMODONTOMYS ALFARI (ALLEN)	holotype	1
HOLOTYPE OF SIREN INTERMEDIA NETTINGI, GOIN, 1942, ANN. CARNEGIE MUS., 29:211	holotype	1
HOLOTYPE OF SIRYSTES ALBOCINEREUS SUBCANESCENS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 72, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF SISTRURUS MILIARIUS STRECKERI	holotype	1
HOLOTYPE OF SITTA CAROLINENSIS UINTAENSIS, TWOMEY, A. C. 1942. THE BIRDS OF THE UINTA BASIN, UTAH. ANNALS CARNEGIE MUSEUM, 341-490. PAGE 422, PUBLISHED 19 JANUARY 1942.	holotype	1
HOLOTYPE OF SITTA PYGMAEA LEUCONUCHA, ANTHONY, A. W. 1889. NEW BIRDS FROM LOWER CALIFORNIA, MEXICO. PROC. CALIF. ACAD. SCI. (2), 73-82. PAGE 77, PUBLISHED 11 OCTOBER 1889.	holotype	1
HOLOTYPE OF SITTASOMUS AMAZONUS SORDIDUS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE WOOD-HEWERS. ANNALS CARNEGIE MUSEUM, 5-18. PAGE 15, PUBLISHED 2 JULY 1948.	holotype	1
HOLOTYPE OF SITTASOMUS GRISEICAPILLUS VIRIDIOR, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE WOOD-HEWERS. ANNALS CARNEGIE MUSEUM, 5-18. PAGE 15, PUBLISHED 2 JULY 1948.	holotype	1
HOLOTYPE OF SMINTHOPSIS VIRGINIAE RUFIGENIS ((THE CORYNDON MUSEUM))	holotype	1
HOLOTYPE OF SNETHLAGEA MINIMA PALLENS, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA ***INCORRECTLY ID'D AS MALE FIDE ZIMMER***. PROC. BIOL. SOC. WASH., 91-100. PAGE 94, PUBLISHED 15 JULY 1925.	holotype	1
HOLOTYPE OF SNETHLAGEA MINIMA, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA. PROC. BIOL. SOC. WASH., 91-100. PAGE 94, PUBLISHED 15 JULY 1925.	holotype	1
HOLOTYPE OF SOMMEROMYS MACRORHINUS	holotype	1
HOLOTYPE OF SONORA SEMIANNULATA BLANCHARDI	holotype	1
HOLOTYPE OF SONORA SEMIANNULATA GLOYDI	holotype	1
HOLOTYPE OF SOREX CAECUTIENS (LAXMANN)	holotype	1
HOLOTYPE OF SOREX EXCELSUS	holotype	1
HOLOTYPE OF SOREX GASPENSIS	holotype	1
HOLOTYPE OF SOREX GRAVESI	holotype	1
HOLOTYPE OF SOREX LONGIROSTRIS EIONIS	holotype	1
HOLOTYPE OF SOREX UGYUNAK (ANDERSON & RAND)	holotype	1
HOLOTYPE OF SORICULUS CAUDATUS (HORSFIELD)	holotype	1
HOLOTYPE OF SORICULUS LAMULA PARVA ((ALLEN))	holotype	1
HOLOTYPE OF SORICULUS PARCA ((ALLEN))	holotype	1
HOLOTYPE OF SORICULUS PARCA FURVA ((ANTHONY))	holotype	1
HOLOTYPE OF SPERMOPHILUS COLUMBIANUS COLUMBIANUS ((ORD))	holotype	1
HOLOTYPE OF SPERMOPHILUS LATERALIS WORTMANI ((ALLEN))	holotype	1
HOLOTYPE OF SPERMOPHILUS PARRYI ABLUSUS (OSGOOD)	holotype	1
HOLOTYPE OF SPERMOPHILUS PARRYI LEUCOSTICTUS (BRANDT)	holotype	1
HOLOTYPE OF SPERMOPHILUS PYGMAEUS ((PALLAS))	holotype	1
HOLOTYPE OF SPERMOPHILUS TRIDECEMLINEATUS PALLIDUS (ALLEN)	holotype	1
HOLOTYPE OF SPERMOPHILUS TRIDECEMLINEATUS PARVUS	holotype	1
HOLOTYPE OF SPERMOPHILUS VARIEGATUS RUPESTRIS ((ALLEN))	holotype	1
HOLOTYPE OF SPHAERODACTYLUS ASTERULUS, SCHWARTZ AND GRAHAM, 1980, TULANE STUD. ZOOL. BOT., 22:8	holotype	1
HOLOTYPE OF SPHAERODACTYLUS BEATTYI	holotype	1
HOLOTYPE OF SPHAERODACTYLUS COPEI DEUTERUS, SCHWARTZ, 1975, HERPETOLOGICA, 31:5	holotype	1
HOLOTYPE OF SPHAERODACTYLUS CORTICOLA CAMPTER, SCHWARTZ, 1968, ANN. CARNEGIE MUS., 39:237	holotype	1
HOLOTYPE OF SPHAERODACTYLUS CORTICOLA SOTER, SCHWARTZ, 1968, ANN. CARNEGIE MUS., 39:232	holotype	1
HOLOTYPE OF SPHAERODACTYLUS CRYPHIUS, THOMAS AND SCHWARTZ, 1977, ANN. CARNEGIE MUS., 46:39	holotype	1
HOLOTYPE OF SPHAERODACTYLUS DECORATUS PORRASI, SCHWARTZ, 1972, HERPETOLOGICA 28:248	holotype	1
HOLOTYPE OF SPHAERODACTYLUS DIFFICILIS ANTHRACOMUS, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):22.	holotype	1
HOLOTYPE OF SPHAERODACTYLUS DIFFICILIS EUOPTER, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):13.	holotype	1
HOLOTYPE OF SPHAERODACTYLUS DIFFICILIS LYCAUGES, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):11	holotype	1
HOLOTYPE OF SPHAERODACTYLUS DIFFICILIS PERATUS, SCHWARTZ, 1983, BULL. CARN. MUS. NAT. HIST. (22):17	holotype	1
