typestatus	standard	vetted
HOLOTYPE OF ADELPHICOS VERAEPACIS	holotype	1
HOLOTYPE OF AEPEOMYS FUSCATUS	holotype	1
HOLOTYPE OF AEPEOMYS LUGENS (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF AETHOMYS KAISERI VERNAYI (HILL & CARTER)	holotype	1
HOLOTYPE OF AETHOMYS NAMAQUENSIS ((SMITH))	holotype	1
HOLOTYPE OF AGELAIUS CYANOPUS XENICUS, PARKES, K. C. 1966. GEOGRAPHIC VARIATION IN AZARA'S MARSH BLACKBIRD, AGELAIUS CYANOPUS. PROC. BIOL. SOC. WASH., 1-12. PAGE 8, PUBLISHED 23 MAY 1966.	holotype	1
HOLOTYPE OF AGELAIUS THILIUS ALTICOLA, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 219, PUBLISHED 26 NOVEMBER 1932.	holotype	1
HOLOTYPE OF AGKISTRODON MOKASEN LATICINCTUS	holotype	1
HOLOTYPE OF AGYRTRIA HOLLANDI, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 173, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF AILUROPS URSINUS TOGIANUS ((TATE))	holotype	1
HOLOTYPE OF AIMOPHILA RUFICEPS CANESCENS, TODD, W. E. C. 1922. A NEW SPARROW FROM SOUTHERN CALIFORNIA. CONDOR, 126-127. PAGE 126, PUBLISHED 29 JULY 1922.	holotype	1
HOLOTYPE OF AKODON AFFINIS ((ALLEN))	holotype	1
HOLOTYPE OF AKODON LATEBRICOLA ((ANTHONY))	holotype	1
HOLOTYPE OF AKODON LONGIPILIS	holotype	1
HOLOTYPE OF AKODON PUER LUTESCENS (ALLEN)	holotype	1
HOLOTYPE OF AKODON URICHI	holotype	1
HOLOTYPE OF AKODON URICHI (ALLEN & CHAPMAN)	holotype	1
HOLOTYPE OF AKODON URICHI MERIDENSIS (ALLEN)	holotype	1
HOLOTYPE OF AKODON URICHI URICHI	holotype	1
HOLOTYPE OF AKODON URICHI VENEZUELENSIS (ALLEN)	holotype	1
HOLOTYPE OF ALLACTAGA BALIKUNICA	holotype	1
HOLOTYPE OF ALLACTAGA ELATER INDICA (GRAY)	holotype	1
HOLOTYPE OF ALLOCRICETULUS CURTATUS (ALLEN)	holotype	1
HOLOTYPE OF ALLOPHRYNE RUTHVENI	holotype	1
HOLOTYPE OF ALOPOGLOSSUS AMAZONIUS	holotype	1
HOLOTYPE OF ALOUATTA PALLIATA PALLIATA ((GRAY))	holotype	1
HOLOTYPE OF ALOUATTA SENICULUS SENICULUS (LINNEAUS)	holotype	1
HOLOTYPE OF ALSOPHIS NICHOLSI	holotype	1
HOLOTYPE OF ALTICOLA SEMICANUS ((ALLEN))	holotype	1
