month	standard	vetted
NOVEMBRE	11	1
NOVERMBER	11	1
NV	11	1
O		1
O IGUAL		1
OCT	10	1
OCT-	10	1
OCT -	10	1
OCT  28	10	1
OCT & 5 NOV		1
OCT 1960	10	1
OCT/DEC		1
OCT/NOV		1
OCTOBER	10	1
OF		1
OF MARCH	3	1
OF MAY	4	1
OF OCT 	10	1
ON LABEL: 1997		1
OPCT	10	1
OR		1
OR 10 MAY		1
OR 21		1
OR 23 MAY 		1
OR 28 JUNE		1
OR 29 JUNE		1
OR 48		1
OR 5 NOV 		1
OR 7 APR		1
OR 9 JAN		1
OR AUGUST		1
OR DECEMBER		1
OR JULY		1
OR JUN		1
OR JUNE		1
OR NOV		1
OR OCT 	10	1
OR SEPT 		1
PER FR  GABRIEL DE S  JOSÉ		1
POCT	10	1
PRE		1
PRIMAVERA		1
PROBABLEMENT		1
PURCHASED		1
REC'D		1
RECD DECEMBER		1
RECDDECEMBER		1
RECEIVED		1
RECOL·LECTAT ENTRE 1990 I		1
SE[	9	1
SEMPTEMBER	9	1
SEO	9	1
SEP	9	1
SEP-	9	1
SEP  NO		1
SEP NO		1
SEP-NOV		1
SEPT	9	1
SEPT-	9	1
SEPT -	9	1
SEPT  19	9	1
SEPT 1969 	9	1
SEPTBEMBER	9	1
SEPTEBMER	9	1
SEPTEMBER	9	1
SEPTEMBER-	9	1
SEPTEMBER 1973 TO 7 SEPTEMBER		1
SEPTEMBER 1989	9	1
SEPTEMBERR	9	1
SEPTEMEBER	9	1
SEPTEMER	9	1
SEPTMBER	9	1
SEPTMEBER	9	1
SPE	9	1
SPR		1
SPR/SUM		1
SPRING		1
SPRING/SUMMER		1
STATION		1
SUM		1
SUMER		1
SUMM		1
SUMMER		1
SUMMER 1975 & FEB		1
SUMMER JUNE		1
SUMMER OF 2004 OR		1
SUMMER/FALL		1
SUMMER/SPRING		1
TARDOR		1
THROUGH 15-JUN-		1
TO		1
TO 3 AUG		1
TO 4-APR-		1
TO MAR		1
TO MID		1
TO MID MAY		1
TO SEPTEMBER		1
UNK		1
V	5	1
VACTION		1
VI	6	1
VII	7	1
VIII	8	1
WEEK		1
WEEK AUG	8	1
WEEK DEC 	12	1
WEEK IN AUG	8	1
WEEK IN JUN	6	1
WEEK IN MARCH	3	1
WEEK IN SEP	9	1
WEEK JUN	6	1
WEEK MAR 	3	1
WEEK MAY		1
WEEK OF APRIL	4	1
WEEK OF AUG	8	1
WEEK OF JAN	1	1
WEEK OF JUNE	6	1
WEEK OF MARCH	3	1
WEEK OF NOV	11	1
WEEK OF SEP	9	1
WEEK SEP	9	1
WIN		1
WINTER		1
WINTER-		1
WINTER- REC  1981- APRIL		1
WK  OF SEPT 	9	1
X	10	1
X 1984		1
X 1984,EM 5 XI		1
XCT	10	1
XI	11	1
XI 1994	11	1
XI[NO	11	1
XII	12	1
XII 1983	12	1
XX		1
XXX		1
XXXZ		1
YEAR		1
